datetime,open,high,low,close,SMA_12,SMA_26,RSI
12/26/2023 1:58,1.10144,1.10145,1.10144,1.10145,1.101491667,1.10159,58.82352941
12/26/2023 2:00,1.10145,1.10195,1.10144,1.10174,1.101509167,1.101593462,77.04918033
12/26/2023 2:01,1.10174,1.10194,1.10171,1.10177,1.10153,1.101606538,73.58490566
12/26/2023 2:02,1.10177,1.10204,1.10177,1.10201,1.101571667,1.101610769,81.57894737
12/26/2023 2:03,1.10201,1.10201,1.10194,1.102,1.101614167,1.101615,81.57894737
12/26/2023 2:04,1.102,1.10206,1.10197,1.102,1.1016575,1.101619231,82.66666667
12/26/2023 2:05,1.102,1.102,1.10196,1.10197,1.1016975,1.101622308,81.57894737
12/26/2023 2:06,1.10197,1.102,1.10195,1.102,1.10174,1.101626923,83.33333333
12/26/2023 2:07,1.102,1.102,1.10197,1.10198,1.1017775,1.101630385,81.01265823
12/26/2023 2:08,1.10198,1.10208,1.10196,1.10208,1.101823333,1.101637692,83.14606742
12/26/2023 2:09,1.10208,1.10208,1.10206,1.10206,1.101875,1.101662692,80.45977011
12/26/2023 2:10,1.10206,1.10207,1.1019,1.1019,1.101913333,1.101681923,67.96116505
12/26/2023 2:11,1.1019,1.10192,1.10188,1.1019,1.101950833,1.101701538,74.46808511
12/26/2023 2:12,1.1019,1.10198,1.1019,1.10197,1.10197,1.101723077,76.23762376
12/26/2023 2:13,1.10197,1.10197,1.10197,1.10197,1.101986667,1.101740385,76
12/26/2023 2:14,1.10197,1.10197,1.10185,1.10188,1.101975833,1.101753846,58.75
12/26/2023 2:15,1.10188,1.10191,1.10185,1.10191,1.101968333,1.101768846,58.75
12/26/2023 2:16,1.10191,1.10192,1.10189,1.10191,1.101960833,1.101784231,41.07142857
12/26/2023 2:17,1.10191,1.10192,1.10188,1.10189,1.101954167,1.101799615,40.35087719
12/26/2023 2:18,1.10189,1.10202,1.10189,1.10201,1.101955,1.10182,50.72463768
12/26/2023 2:19,1.10201,1.10205,1.102,1.10205,1.101960833,1.101841538,55.71428571
12/26/2023 2:20,1.10205,1.10207,1.10201,1.10202,1.101955833,1.101861923,51.42857143
12/26/2023 2:21,1.10202,1.10206,1.10202,1.10205,1.101955,1.101881923,54.92957746
12/26/2023 2:22,1.10205,1.10208,1.10205,1.10206,1.101968333,1.101902308,48.38709677
12/26/2023 2:23,1.10206,1.10208,1.10206,1.10208,1.101983333,1.101926923,51.61290323
12/26/2023 2:24,1.10208,1.10209,1.10207,1.10207,1.101991667,1.101951154,68.08510638
12/26/2023 2:25,1.10207,1.10214,1.10207,1.10213,1.102005,1.101977308,71.69811321
12/26/2023 2:26,1.10213,1.10217,1.1021,1.10217,1.102029167,1.101993846,70
12/26/2023 2:27,1.10217,1.10218,1.10216,1.10217,1.102050833,1.102009231,70
12/26/2023 2:28,1.10217,1.10218,1.10217,1.10218,1.102073333,1.102015769,85.71428571
12/26/2023 2:29,1.10218,1.10225,1.10215,1.10223,1.102101667,1.102024615,86.36363636
12/26/2023 2:30,1.10223,1.1023,1.10221,1.10228,1.102124167,1.102035385,87.75510204
12/26/2023 2:31,1.10228,1.10229,1.10227,1.10228,1.102143333,1.102047308,91.4893617
12/26/2023 2:32,1.10228,1.10228,1.10226,1.10227,1.102164167,1.102057692,86.11111111
12/26/2023 2:33,1.10227,1.10228,1.10227,1.10227,1.1021825,1.102068846,84.375
12/26/2023 2:34,1.10227,1.10228,1.10225,1.10228,1.102200833,1.102076538,93.33333333
12/26/2023 2:35,1.10228,1.10231,1.10224,1.1023,1.102219167,1.102085769,93.10344828
12/26/2023 2:36,1.1023,1.10231,1.10224,1.10224,1.102233333,1.102098846,76.47058824
12/26/2023 2:37,1.10224,1.10227,1.10223,1.10223,1.102241667,1.102111538,72.72727273
12/26/2023 2:38,1.10223,1.10226,1.10222,1.10224,1.1022475,1.102121923,75.75757576
12/26/2023 2:39,1.10224,1.10227,1.10223,1.10224,1.102253333,1.102132308,70.37037037
12/26/2023 2:40,1.10224,1.10226,1.1022,1.1022,1.102255,1.102144615,55.55555556
12/26/2023 2:41,1.1022,1.1022,1.10218,1.10218,1.102250833,1.102155,51.72413793
